id,date,temperature,pressure,EC1,EC2
64406,2021-04-21 14:20,19.7,7.1,37,0
64405,2021-04-21 14:19,19.7,7,37.3,0
64404,2021-04-21 14:17,19.7,7.1,37.2,0
64403,2021-04-21 14:16,19.6,7.1,37.4,0
64402,2021-04-21 14:15,19.6,7,36.8,0
64401,2021-04-21 14:13,19.6,7.1,36.9,0
64400,2021-04-21 14:12,19.4,7,36.8,0
64399,2021-04-21 14:11,19.4,7,37.1,0
64398,2021-04-21 14:09,19.6,7.1,36.9,0
64397,2021-04-21 14:08,19.4,7,37.2,0
64396,2021-04-21 14:07,19.4,7.1,36.7,0
64395,2021-04-21 14:05,19.4,7.1,37.2,0
64394,2021-04-21 14:04,19.4,7.1,37.2,0
64393,2021-04-21 14:03,19.2,7.1,37.5,0
64392,2021-04-21 14:01,19.4,7.1,37.1,0
64391,2021-04-21 14:00,19,7.1,37.1,0
64390,2021-04-21 13:59,19.2,7.1,36.9,0
64389,2021-04-21 13:57,19,7.1,36.9,0
64388,2021-04-21 13:56,19,7.1,36.7,0
64387,2021-04-21 13:55,19,7.1,37.1,0
64386,2021-04-21 13:53,18.5,7.1,36.2,0
64385,2021-04-21 13:52,18.7,7,36.9,0
64384,2021-04-21 13:51,18.3,7.1,36.7,0
64383,2021-04-21 13:49,18.3,7.1,36.9,0
64382,2021-04-21 13:48,18.3,7.1,37.7,0
64381,2021-04-21 13:47,18,7.1,36.7,0
64380,2021-04-21 13:45,18,7.1,36.8,0
64379,2021-04-21 13:44,18,7.1,37.1,0
64378,2021-04-21 13:43,18,7.1,37.7,0
64377,2021-04-21 13:41,18,7.1,37.4,0
64376,2021-04-21 13:40,18,4.8,194.6,0
64364,2021-04-21 13:27,18.3,7.1,37.5,0
64363,2021-04-21 13:25,18.5,7.1,37.1,0
64362,2021-04-21 13:25,18.5,7.1,37.1,0
64361,2021-04-21 13:24,18.5,7.1,37.4,0
64360,2021-04-21 13:23,18.3,7.1,37.8,0
64359,2021-04-21 13:21,18,7.1,37.4,0
64358,2021-04-21 13:20,18,7.1,37.1,0
64357,2021-04-21 13:19,18,7,37.3,0
64356,2021-04-21 13:17,18,7.1,37.3,0
64355,2021-04-21 13:16,18,7.1,37.9,0
64354,2021-04-21 13:15,18,7.1,38,0
64353,2021-04-21 13:13,18,7.1,37.7,0
64352,2021-04-21 13:12,18,4,114.1,0
64292,2021-04-21 11:56,16.1,7.1,37.4,0
64291,2021-04-21 11:55,16.1,7.1,37.3,0
64290,2021-04-21 11:53,15.9,7.1,37.5,0
64289,2021-04-21 11:52,15.9,7.1,37.5,0
64288,2021-04-21 11:51,15.7,7.1,37.7,0
64287,2021-04-21 11:49,15.7,7.1,38,0
64286,2021-04-21 11:48,15.7,7.1,37.7,0
64285,2021-04-21 11:47,15.4,7.1,37.9,0
64284,2021-04-21 11:45,15.4,7.1,38.2,0
64283,2021-04-21 11:44,15.2,7.1,38.3,0
62154,2021-04-19 15:54,15.7,7.1,36.4,0
62153,2021-04-19 15:54,15.7,7.1,36.4,0
62152,2021-04-19 15:53,15.7,7.1,36.7,0
62151,2021-04-19 15:52,15.7,7.1,36.4,0
62150,2021-04-19 15:50,15.7,7.1,37.1,0
62149,2021-04-19 15:49,15.7,7.1,36.6,0
62148,2021-04-19 15:48,15.7,7.1,37,0
62147,2021-04-19 15:46,15.7,7.1,36.7,0
62146,2021-04-19 15:45,15.7,7.1,37.2,0
62145,2021-04-19 15:44,15.7,7.1,36.4,0
62144,2021-04-19 15:42,15.7,7.1,36.6,0
62143,2021-04-19 15:41,15.7,7.1,37.1,0
62142,2021-04-19 15:40,15.7,7,36.7,0
62141,2021-04-19 15:38,15.7,7.1,36.8,0
62140,2021-04-19 15:37,15.7,7.1,36.8,0
62139,2021-04-19 15:36,15.7,7.1,36.7,0
62138,2021-04-19 15:34,15.7,7.1,36.8,0
62137,2021-04-19 15:33,15.7,7,37.3,0
62136,2021-04-19 15:32,15.7,7.1,37.4,0
62135,2021-04-19 15:30,15.5,7.1,37.1,0
62134,2021-04-19 15:29,15.7,7.1,36.6,0
62133,2021-04-19 15:28,15.5,7.1,37,0
62132,2021-04-19 15:26,15.5,7.1,36.9,0
62131,2021-04-19 15:25,15.5,7.1,37,0
62130,2021-04-19 15:24,15.7,7.1,36.9,0
62129,2021-04-19 15:22,15.5,7.1,37.3,0
62128,2021-04-19 15:21,15.5,7.1,37.3,0
62127,2021-04-19 15:20,15.7,7.1,36.7,0
62126,2021-04-19 15:18,15.7,7.1,36.5,0
62125,2021-04-19 15:17,15.5,7.1,36.9,0
62124,2021-04-19 15:16,15.7,7.1,36.7,0
62123,2021-04-19 15:14,15.7,7.1,36.8,0
62122,2021-04-19 15:13,15.7,7.1,37.2,0
62121,2021-04-19 15:12,15.4,7.1,37,0
62120,2021-04-19 15:10,15.4,7.1,37.5,0
62119,2021-04-19 15:09,15.4,7.1,36.9,0
62118,2021-04-19 15:08,15.4,7.1,37,0
62117,2021-04-19 15:06,15.2,7.1,37.5,0
62116,2021-04-19 15:05,15.2,7.1,36.9,0
62115,2021-04-19 15:04,15.2,7.1,36.6,0
62114,2021-04-19 15:02,15.2,7.1,36.6,0
62113,2021-04-19 15:01,15.2,7,36.9,0
62112,2021-04-19 15:01,15.2,7,36.9,0
62111,2021-04-19 15:00,15.2,7.1,37,0
62110,2021-04-19 14:58,15,7.1,37.9,0
62109,2021-04-19 14:57,15.2,7.1,37.8,0
62108,2021-04-19 14:56,15,7.1,37.6,0
62107,2021-04-19 14:54,14.8,7.1,37.1,0
62106,2021-04-19 14:53,14.8,7.1,36.9,0
62105,2021-04-19 14:52,14.7,7.1,37.2,0
62104,2021-04-19 14:52,14.7,7.1,37.2,0
62103,2021-04-19 14:50,14.5,7.2,38,0
62102,2021-04-19 14:49,14.5,7.1,38.1,0
62101,2021-04-19 14:48,14.5,7.1,37.8,0
62100,2021-04-19 14:46,14.3,7.1,37.9,0
62099,2021-04-19 14:45,14.3,7.1,37.8,0
62098,2021-04-19 14:44,14.1,7.1,37.7,0
62097,2021-04-19 14:42,14.1,7.1,37.8,0
62096,2021-04-19 14:41,14,7.1,37.5,0
62095,2021-04-19 14:40,14.1,7.1,37.9,0
62094,2021-04-19 14:38,14.3,7.1,38.3,0
62093,2021-04-19 14:37,14.5,7.1,37.9,0
62092,2021-04-19 14:36,14.7,7.1,38.3,0
62091,2021-04-19 14:34,14.7,7,38.4,0
62090,2021-04-19 14:33,14.7,7.1,37.8,0
62089,2021-04-19 14:32,14.5,7.1,38,0
62088,2021-04-19 14:30,14.5,7.1,38.4,0
53801,2021-04-12 11:39,9.9,7.1,38.5,0
53800,2021-04-12 11:38,9.9,7.2,38.8,0
53799,2021-04-12 11:36,9.9,7.1,38.6,0
53798,2021-04-12 11:35,9.9,7.1,38.1,0
53797,2021-04-12 11:34,9.9,7.2,38.2,0
53796,2021-04-12 11:32,9.9,7.1,38.4,0
53795,2021-04-12 11:31,9.8,7.1,38.8,0
53794,2021-04-12 11:30,9.9,7.1,38.4,0
53793,2021-04-12 11:28,9.9,7.1,38.3,0
53792,2021-04-12 11:27,9.8,7.1,39,0
53791,2021-04-12 11:26,9.8,7.1,38.4,0
53790,2021-04-12 11:24,9.8,7.1,38.2,0
53789,2021-04-12 11:23,9.8,7.1,38.4,0
53788,2021-04-12 11:22,9.8,7.1,38.5,0
53787,2021-04-12 11:20,9.8,7.1,39.2,0
24041,2021-03-17 17:04,7.8,7.1,39.9,0
21616,2021-03-15 13:29,8,8.5,36.9,0
21615,2021-03-15 13:28,7.8,8.5,37.5,0
21614,2021-03-15 13:26,7.8,8.5,37.2,0
21613,2021-03-15 13:25,8,0,37.3,0
21612,2021-03-15 13:24,8,4.9,37.3,0
21611,2021-03-15 13:22,8,4.1,37.5,0
21610,2021-03-15 13:21,8,4.9,37,0
21609,2021-03-15 13:20,8,4.9,37.1,0
21608,2021-03-15 13:18,8,6.8,37.2,0
21607,2021-03-15 13:17,8,4,37.4,0
21606,2021-03-15 13:16,8,8.5,37.6,0
21605,2021-03-15 13:14,8,0,37.8,0
21604,2021-03-15 13:13,7.8,0,38,0
21603,2021-03-15 13:12,7.5,0,37.6,0
21602,2021-03-15 13:10,7.5,0,37.8,0
21601,2021-03-15 13:10,7.5,0,37.8,0
21600,2021-03-15 13:09,7.5,0,37.5,0
21599,2021-03-15 13:08,7.3,0,37.7,0
21598,2021-03-15 13:06,7.3,0,37.2,0
21597,2021-03-15 13:05,7.3,4.1,37.5,0
21596,2021-03-15 13:04,7.3,0,37.4,0
21595,2021-03-15 13:02,7.5,0,37.6,0
21594,2021-03-15 13:01,7.1,4,37.3,0
21593,2021-03-15 13:00,7.3,0,37.1,0
21592,2021-03-15 12:58,7.1,0,37.3,0
21591,2021-03-15 12:58,7.1,0,37.3,0
21590,2021-03-15 12:57,7.1,4.3,37,0
21589,2021-03-15 12:56,7.1,4.4,37.2,0
21588,2021-03-15 12:54,7,4.3,37.1,0
21587,2021-03-15 12:53,7,4,37.1,0
21586,2021-03-15 12:52,7,4,37.3,0
21585,2021-03-15 12:50,7,4,37.6,0
21584,2021-03-15 12:49,6.8,0,37.3,0
21583,2021-03-15 12:48,6.8,4,37.3,0
21582,2021-03-15 12:46,6.8,0,37.2,0
21581,2021-03-15 12:45,6.8,4,37.1,0
21580,2021-03-15 12:44,6.8,7.2,37.4,0
21579,2021-03-15 12:42,6.8,7.3,37.5,0
21578,2021-03-15 12:41,6.8,4,37.8,0
21577,2021-03-15 12:40,6.8,4,37.6,0
21576,2021-03-15 12:38,6.4,4,37.5,0
21575,2021-03-15 12:37,6.6,4,37.3,0
21574,2021-03-15 12:36,6.4,4,37.6,0
21573,2021-03-15 12:34,6.4,4,37.6,0
21572,2021-03-15 12:33,6.3,8.6,37.6,0
21571,2021-03-15 12:32,6.3,8.6,37.6,0
21570,2021-03-15 12:30,6.1,0,37.9,0
21569,2021-03-15 12:29,6.1,0,38,0
21568,2021-03-15 12:28,6.3,0,37.6,0
21567,2021-03-15 12:26,6.1,0,38,0
21566,2021-03-15 12:25,5.9,6.9,38.4,0
21547,2021-03-15 12:00,5.7,8.5,38,0
21546,2021-03-15 11:58,5.7,8.6,37.1,0
21545,2021-03-15 11:57,5.7,8.6,37.8,0
21544,2021-03-15 11:56,5.7,8.6,37.9,0
21543,2021-03-15 11:54,5.7,8.5,38.2,0
21542,2021-03-15 11:53,5.6,8.5,38,0
21541,2021-03-15 11:52,5.6,4,38.1,0
21540,2021-03-15 11:50,5.6,4,38,0
21539,2021-03-15 11:49,5.6,4,38.6,0
21538,2021-03-15 11:48,5.6,4,39.2,0
21537,2021-03-15 11:46,5.6,7.2,39.1,0
14520,2021-03-09 9:55,8.4,4,0,17.3
14519,2021-03-09 9:54,8.2,4,0,17.2
14518,2021-03-09 9:52,8,4,0,17.2
14517,2021-03-09 9:51,7.8,4,0,17.2
14516,2021-03-09 9:50,7.8,4.1,0,17.4
14515,2021-03-09 9:48,7.7,4,0,17.3
14514,2021-03-09 9:47,7.5,4,0,17.6
14513,2021-03-09 9:46,7.3,4,0,17.5
14512,2021-03-09 9:44,7.1,4,0,17.4
14511,2021-03-09 9:43,7,4.1,0,17.4
14510,2021-03-09 9:42,6.8,4,0,17.6
14509,2021-03-09 9:40,6.4,4,0,17.6
14508,2021-03-09 9:39,6.1,4,0,17.5
14507,2021-03-09 9:38,5.7,4,0,17.5
14506,2021-03-09 9:36,5.4,4,0,17.8
14505,2021-03-09 9:35,4.9,4,0,18
14504,2021-03-09 9:34,4.7,4,0,83.2
14498,2021-03-09 9:27,4.5,4,38.3,0
14497,2021-03-09 9:27,4.5,4,38.3,0
14496,2021-03-09 9:26,4.5,4,39.2,0
14495,2021-03-09 9:24,4.5,4,38.7,0
14494,2021-03-09 9:23,4.3,4,38.8,0
14493,2021-03-09 9:23,4.3,4,38.8,0
14492,2021-03-09 9:22,4.5,4,39.2,0
14491,2021-03-09 9:20,4.5,4,39,0
14490,2021-03-09 9:19,4.3,4,38.9,0
14489,2021-03-09 9:18,4.5,4,39,0
14488,2021-03-09 9:16,4.3,4,39.2,0
14487,2021-03-09 9:15,4.3,4,38.7,0
14486,2021-03-09 9:14,4.3,4,38.6,0
14485,2021-03-09 9:12,4.3,4,38.5,0
14484,2021-03-09 9:11,4,4,38.9,0
14483,2021-03-09 9:10,4.2,4,38.9,0
14482,2021-03-09 9:08,4,4,39,0
14481,2021-03-09 9:07,4,4,38.9,0
14480,2021-03-09 9:06,3.8,4,39.1,0
14479,2021-03-09 9:06,3.8,4,39.1,0
14478,2021-03-09 9:04,3.6,4,38.7,0
14477,2021-03-09 9:03,3.6,4,39.1,0
14476,2021-03-09 9:02,3.6,4,39,0
14475,2021-03-09 9:00,3.6,4,38.8,0
14474,2021-03-09 8:59,3.6,4,39.6,0
14473,2021-03-09 8:58,3.6,4,39.8,0
14472,2021-03-09 8:56,3.6,4,39.9,0
14471,2021-03-09 8:55,3.6,4,39.6,0
14470,2021-03-09 8:55,3.6,4,39.6,0
14469,2021-03-09 8:54,3.6,4,39.5,0
14468,2021-03-09 8:52,3.5,4,39.9,0
14467,2021-03-09 8:51,3.5,4,39.7,0
14466,2021-03-09 8:50,3.5,4,39.2,0
14465,2021-03-09 8:48,3.6,4,38.7,0
14464,2021-03-09 8:47,3.6,4,39.6,0
14463,2021-03-09 8:46,3.5,4,39.8,0
14462,2021-03-09 8:44,3.6,4,39.7,0
14461,2021-03-09 8:43,4,4,39.8,0
14460,2021-03-09 8:43,4,4,39.8,0
14459,2021-03-09 8:42,3.8,4,39.5,0
14458,2021-03-09 8:40,4,4,39.6,0
14457,2021-03-09 8:39,4,4,39.7,0
14456,2021-03-09 8:38,4,4,39.5,0
14455,2021-03-09 8:38,4,4,39.5,0
14454,2021-03-09 8:36,4,4,40.3,0
14453,2021-03-09 8:36,4,4,40.3,0
14452,2021-03-09 8:35,4.2,4,39.2,0
14451,2021-03-09 8:35,4.2,4,39.2,0
14450,2021-03-09 8:34,4.2,4,40,0
14449,2021-03-09 8:32,4.3,4,39.7,0
14448,2021-03-09 8:31,4.3,4,38.9,0
14447,2021-03-09 8:30,4.3,4,39.4,0
14446,2021-03-09 8:28,4.5,4,39.5,0
14445,2021-03-09 8:27,4.3,4,39.8,0
14444,2021-03-09 8:26,4.5,4,39.7,0
14443,2021-03-09 8:24,4.7,4,39.6,0
14442,2021-03-09 8:23,5,4,39.1,0
14441,2021-03-09 8:22,5.2,4,39.9,0
14440,2021-03-09 8:20,5.2,4,39.9,0
14439,2021-03-09 8:19,5,4,40.1,0
14438,2021-03-09 8:18,5.2,4,40.6,0
14437,2021-03-09 8:16,5.2,4,41.1,0
14436,2021-03-09 8:15,5.4,4,42,0
13761,2021-03-08 18:16,48.1,4,0,15.2
13760,2021-03-08 18:15,49.5,4,0,15.3
13759,2021-03-08 18:14,51.4,4,0,15.2
13758,2021-03-08 18:14,51.4,4,0,15.2
13757,2021-03-08 18:12,53.3,4,0,15.2
13756,2021-03-08 18:11,55.1,4,0,15
13755,2021-03-08 18:10,57.2,4,0,14.9
13754,2021-03-08 18:08,58.7,4,0,15
13753,2021-03-08 18:07,59.4,4,0,14.3
13752,2021-03-08 18:07,59.4,4,0,14.3
13751,2021-03-08 18:06,59.1,4,0,14.3
13750,2021-03-08 18:04,59.1,4,0,14.3
13749,2021-03-08 18:04,59.1,4,0,14.3
13748,2021-03-08 18:03,59.4,4,0,14.4
13747,2021-03-08 18:02,59.6,4,0,14.5
13746,2021-03-08 18:00,60.1,4,0,14.5
13745,2021-03-08 17:59,60.5,4,0,14.5
13744,2021-03-08 17:58,60.7,4,0,14.5
13743,2021-03-08 17:56,61,4,0,14.4
13742,2021-03-08 17:56,61,4,0,14.4
13741,2021-03-08 17:55,61,4,0,14.3
13740,2021-03-08 17:54,60.8,4,0,14.2
13739,2021-03-08 17:52,61,4,0,14.2
13738,2021-03-08 17:51,60.3,4,0,14.1
13737,2021-03-08 17:50,58.7,4,0,14.1
13736,2021-03-08 17:48,58,4,0,14
13735,2021-03-08 17:47,57.9,4,0,14.3
13734,2021-03-08 17:46,59.8,4,0,15.1
13733,2021-03-08 17:44,61,4,0,14.7
13732,2021-03-08 17:43,59.6,4,0,14.2
13731,2021-03-08 17:42,57.7,4,0,14
13730,2021-03-08 17:40,56.1,4,0,14.3
13729,2021-03-08 17:39,54.4,4,0,14.1
13728,2021-03-08 17:38,52.1,4,0,14.1
13727,2021-03-08 17:36,49.8,4,0,14
13726,2021-03-08 17:35,47,4,0,14.2
13725,2021-03-08 17:34,43.7,4,0,14.1
13724,2021-03-08 17:32,40.2,4,0,14.1
13723,2021-03-08 17:31,36.5,4,0,14.4
13722,2021-03-08 17:30,32,4,0,14.3
13721,2021-03-08 17:28,27.6,4,0,14.4
13720,2021-03-08 17:27,23.4,4,0,14.8
13719,2021-03-08 17:26,18.9,4,0,15.1
13718,2021-03-08 17:24,14.3,4,0,15.2
13717,2021-03-08 17:23,10.1,4,0,15.7
13716,2021-03-08 17:22,8.2,4,0,16.7
13715,2021-03-08 17:20,8.2,4,0,18
13714,2021-03-08 17:19,8.7,4,0,107.9
13713,2021-03-08 17:18,9.1,4,0,17.9
13707,2021-03-08 17:10,9.1,4.1,37.8,0
13703,2021-03-08 17:06,9.1,4.1,37.8,0
13702,2021-03-08 17:04,9.1,4.1,38.4,0
13701,2021-03-08 17:03,9.1,4.1,37.5,0
13700,2021-03-08 17:03,9.1,4.1,37.5,0
13699,2021-03-08 17:02,9.1,4.1,38,0
13698,2021-03-08 17:00,9.1,4,38.4,0
13697,2021-03-08 16:59,9.1,4.1,37.7,0
13696,2021-03-08 16:58,9.1,4,38.6,0
13695,2021-03-08 16:58,9.1,4,38.6,0
13694,2021-03-08 16:56,9.1,4,38,0
13693,2021-03-08 16:55,9.1,4,38.1,0
13692,2021-03-08 16:54,9.1,4.1,38.3,0
13691,2021-03-08 16:52,9.1,4.1,38.7,0
13690,2021-03-08 16:52,9.1,4.1,38.7,0
13689,2021-03-08 16:51,9.1,4.1,38.7,0
13688,2021-03-08 16:51,9.1,4.1,38.7,0
13685,2021-03-08 16:47,9.1,4.1,37.9,0
13684,2021-03-08 16:46,9.4,4.1,38.2,0
13683,2021-03-08 16:44,9.4,4.1,38.2,0
13682,2021-03-08 16:44,9.4,4.1,38.2,0
13681,2021-03-08 16:43,9.4,4.1,38.2,0
13680,2021-03-08 16:42,9.4,4.1,38.5,0
13679,2021-03-08 16:40,9.4,4.1,38.6,0
13678,2021-03-08 16:39,9.4,4.1,38.2,0
13677,2021-03-08 16:38,9.4,4.1,38.4,0
13676,2021-03-08 16:36,9.4,4.1,38.1,0
13675,2021-03-08 16:35,9.4,4.1,37.9,0
13674,2021-03-08 16:34,9.1,4.1,38,0
13673,2021-03-08 16:32,9.1,4.1,38.2,0
13672,2021-03-08 16:31,9.4,4.1,38.3,0
13671,2021-03-08 16:30,9.1,4.1,37.7,0
13670,2021-03-08 16:28,9.1,4,37.6,0
13669,2021-03-08 16:27,9.1,4.1,38.1,0
13668,2021-03-08 16:26,9.1,4.1,37.8,0
13667,2021-03-08 16:26,9.1,4.1,37.8,0
13666,2021-03-08 16:24,8.9,4.1,37.5,0
13665,2021-03-08 16:23,8.9,4.1,38.4,0
13664,2021-03-08 16:22,9.1,4.1,37.6,0
13663,2021-03-08 16:20,9.1,4.1,38.4,0
13662,2021-03-08 16:19,9.1,4.1,38.5,0
13661,2021-03-08 16:18,9.1,4.1,38.2,0
13660,2021-03-08 16:16,8.9,4.1,38.8,0
13659,2021-03-08 16:15,9.1,4.1,38.7,0
13658,2021-03-08 16:14,9.1,4.1,37.9,0
13657,2021-03-08 16:12,8.9,4.1,38,0
13656,2021-03-08 16:11,8.9,4.1,37.9,0
13655,2021-03-08 16:10,8.9,4.1,38.3,0
13654,2021-03-08 16:08,9.1,4.1,38.4,0
13653,2021-03-08 16:07,9.1,4.1,38.3,0
13652,2021-03-08 16:06,8.9,4.2,38.3,0
13651,2021-03-08 16:04,9.1,4.1,38.3,0
13650,2021-03-08 16:03,8.9,4.1,38.3,0
13649,2021-03-08 16:02,9.1,4.1,38.1,0
13648,2021-03-08 16:00,8.9,4.1,37.9,0
13647,2021-03-08 15:59,8.9,4.1,37.7,0
13646,2021-03-08 15:58,8.9,4.1,38.4,0
13645,2021-03-08 15:56,8.9,4.1,38.5,0
13644,2021-03-08 15:55,8.7,4.2,37.9,0
13643,2021-03-08 15:54,8.9,4.1,38.4,0
13642,2021-03-08 15:52,9.1,4.1,38.4,0
13641,2021-03-08 15:51,8.9,4.1,38.5,0
13640,2021-03-08 15:50,8.9,4.1,37.8,0
13639,2021-03-08 15:48,8.9,4.1,38.6,0
13638,2021-03-08 15:47,9.1,4.2,38.5,0
13637,2021-03-08 15:46,8.9,4.2,38.8,0
13636,2021-03-08 15:44,8.9,4.1,38.2,0
13635,2021-03-08 15:43,8.9,4.1,38,0
13634,2021-03-08 15:42,8.9,4.1,38.6,0
13633,2021-03-08 15:40,8.9,4.1,39.1,0
13632,2021-03-08 15:40,8.9,4.1,39.1,0
13631,2021-03-08 15:39,8.9,4.1,37.5,0
13630,2021-03-08 15:38,8.7,4.1,37.8,0
13629,2021-03-08 15:36,8.7,4.1,38.9,0
13628,2021-03-08 15:35,8.7,4.1,38.8,0
13627,2021-03-08 15:34,8.7,4.1,38.9,0
13626,2021-03-08 15:32,8.7,4.1,38.7,0
13625,2021-03-08 15:31,8.7,4.2,38.8,0
13624,2021-03-08 15:30,8.7,4.1,38.4,0
13623,2021-03-08 15:28,8.7,4.1,38.3,0
13622,2021-03-08 15:27,8.7,4.2,38.4,0
13621,2021-03-08 15:26,8.7,4.1,38.5,0
13620,2021-03-08 15:24,8.5,4.1,38.3,0
13619,2021-03-08 15:23,8.7,4.2,38.3,0
13618,2021-03-08 15:22,8.5,4.1,38.4,0
13617,2021-03-08 15:20,8.7,4.1,37.6,0
13616,2021-03-08 15:19,8.7,4.1,38.5,0
13615,2021-03-08 15:18,8.5,4.1,39.1,0
13614,2021-03-08 15:16,8.4,4.1,38.3,0
13613,2021-03-08 15:15,8.5,4.1,38.7,0
13612,2021-03-08 15:14,8.7,4.1,39.5,0
13611,2021-03-08 15:12,8.4,4.1,38.5,0
13610,2021-03-08 15:11,8.4,4.1,39,0
13609,2021-03-08 15:10,8.4,4.1,39.1,0
13608,2021-03-08 15:10,8.4,4.1,39.1,0
13607,2021-03-08 15:08,8.4,4.1,38.9,0
13606,2021-03-08 15:08,8.4,4.1,38.9,0
13605,2021-03-08 15:07,8.4,4.1,38.6,0
13604,2021-03-08 15:06,8.2,4.2,38.8,0
13603,2021-03-08 15:04,8.2,4.1,38.1,0
13602,2021-03-08 15:03,8,4.1,38.7,0
13601,2021-03-08 15:02,8,4.1,39,0
13600,2021-03-08 15:00,7.8,4.1,39.3,0
13599,2021-03-08 14:59,7.8,4.1,39.8,0
13598,2021-03-08 14:58,7.8,4.1,39.5,0
13597,2021-03-08 14:56,7.8,4.1,39.8,0
13596,2021-03-08 14:56,7.8,4.1,39.8,0
13587,2021-03-08 14:46,7.5,4.1,40.3,0
13586,2021-03-08 14:44,7.5,4,119.6,0
13378,2021-03-08 10:39,3.5,4,40.4,0
13377,2021-03-08 10:38,3.5,4,41.2,0
11171,2021-03-06 12:41,8,4.1,39,0
11170,2021-03-06 12:41,8,4.1,39,0
11169,2021-03-06 12:40,8.4,4.1,38.9,0
11168,2021-03-06 12:39,8.7,4.1,38.7,0
11167,2021-03-06 12:37,8.4,4.1,38.7,0
11166,2021-03-06 12:36,8,4.1,39.1,0
11165,2021-03-06 12:35,8,4.2,39.6,0
11150,2021-03-06 12:15,8.4,4.1,39,0
11149,2021-03-06 12:13,8,4.1,39.6,0
11148,2021-03-06 12:13,8,4.1,39.6,0
11147,2021-03-06 12:12,8,4.1,39.8,0
11146,2021-03-06 12:11,8,4.2,40.2,0
11042,2021-03-06 10:01,4.2,4.8,40.4,0
7895,2021-03-03 16:13,4,8.7,39.8,18.1
7894,2021-03-03 16:12,3.8,8.7,39.5,18.1
7893,2021-03-03 16:10,3.5,8.7,40.1,18.4
7892,2021-03-03 16:09,3.5,8.8,40.7,18.8
7891,2021-03-03 16:08,3.5,8.6,41.2,0
2219,2021-02-26 16:02,6.4,8.9,38.9,0
2218,2021-02-26 16:00,6.4,8.9,38.3,0
2217,2021-02-26 15:59,6.4,8.9,38.1,0
2216,2021-02-26 15:58,6.4,8.9,38.3,0
2215,2021-02-26 15:56,6.6,8.9,38.2,0
2214,2021-02-26 15:56,6.6,8.9,38.2,0
2213,2021-02-26 15:47,6.8,8.8,39.5,17.8
2212,2021-02-26 15:46,6.8,8.9,38.7,17.9
2211,2021-02-26 15:45,6.6,8.8,38.7,17.8
2210,2021-02-26 15:45,6.6,8.8,38.7,17.8
2209,2021-02-26 15:43,6.8,8.9,38.9,17.9
2208,2021-02-26 15:42,6.8,8.9,39.5,18
2207,2021-02-26 15:41,6.8,8.9,38.8,18
2206,2021-02-26 15:41,6.8,8.9,38.8,18
2205,2021-02-26 15:39,6.8,8.9,38.4,18.3
2204,2021-02-26 15:38,6.6,8.8,38.5,0
2203,2021-02-26 15:37,6.4,8.9,38.6,0
2202,2021-02-26 15:35,6.3,8.9,39.8,0
2201,2021-02-26 15:34,6.3,8.8,39.1,0
2200,2021-02-26 15:34,6.3,8.8,39.1,0
2199,2021-02-26 15:33,6.3,8.8,39.6,0
2131,2021-02-26 14:07,5.6,8.8,39.7,0
2130,2021-02-26 14:06,5.6,4.2,115.6,0
